"Date","IE 11.0","Chrome 43.0","Chrome 46.0","Chrome 47.0","Safari iPad","Chrome 40.0","Chrome 45.0","Chrome 44.0","Chrome 41.0","Chrome 42.0","Chrome 48.0","IE 8.0","Chrome for Android","Firefox 38.0","IE 9.0","IE 10.0","Safari 8.0","Firefox 37.0","Firefox 36.0","Firefox 39.0","Firefox 40.0","Android 0","Firefox 35.0","Firefox 43.0","Firefox 41.0","Firefox 42.0","Chrome 31.0","Safari 9.0","Chrome 39.0","Chrome 37.0","Chrome 36.0","Safari 7.1","Firefox 44.0","Firefox 31.0","Safari 7.0","Edge 12","Chrome iPad","Chrome 38.0","Safari 6.1","Safari 5.1","Chrome 35.0","Firefox 32.0","360 Safe Browser 0","Opera 12.1","Edge 13","Chrome 33.0","Safari 6.2","Sogou Explorer 0","Chrome 34.0","Firefox 34.0","Opera 28.0","Maxthon 4.4","Opera 30.0","Opera 34.0","Firefox 33.0","Safari 5.0","Opera 29.0","Opera 32.0","Opera 27.0","Opera 31.0","Firefox 30.0","Opera 33.0","Chrome 22.0","IE 6.0","Chrome 30.0","IE 7.0","Chrome 11.0","Firefox 27.0","Firefox 25.0","Chrome 32.0","Firefox 21.0","Firefox 3.6","Firefox 29.0","Opera 0","Chrome 24.0","Yandex Browser 15.2","Chrome 29.0","Chromium 25.0","Chrome 26.0","Opera 35.0","Firefox 24.0","Sony PS4 0","Firefox 12.0","Safari 6.0","Firefox 28.0","Chrome 21.0","Chrome 27.0","Yandex Browser 15.10","Chrome 28.0","Yandex Browser 15.7","Firefox 16.0","Firefox 23.0","Firefox 26.0","Firefox 3.0","Firefox 15.0","Yandex Browser 14.12","Opera 10.0","Firefox 22.0","Chrome 49.0","Yandex Browser 15.9","Firefox 18.0","Yandex Browser 15.12","Firefox 8.0","IE 0","Yandex Browser 15.6","Firefox 20.0","Firefox 17.0","Sony PS3 0","Firefox 11.0","Chrome 25.0","Safari 4.0","Chrome 12.0","Firefox 6.0","Mozilla 0","Chrome 18.0","Chrome 23.0","Yandex Browser 15.4","Silk 3.66","Firefox 19.0","Phantom 0","Firefox 10.0","Firefox 14.0","Chrome 10.0","Firefox 4.0","Silk 3.68","Firefox 13.0","Opera 12.0","Chrome 19.0","Firefox 45.0","QQ Browser 8.0","Chrome 39.6","Chrome 4.0","Firefox 2.0","Silk 3.67","UC Browser 10.7","Opera 12.5","Chrome 13.0","Chrome 16.0","Chrome 15.0","Safari 4.1","Maxthon 1.0","Chrome 14.0","Silk 3.46","Chrome 20.0","Chrome 6.0","Coc Coc 52.2","Safari 2.0","Chrome 17.0","Opera 26.0","Firefox 9.0","Opera 11.6","QQ Browser 8.2","Opera 7.1","Firefox 3.5","Firefox 5.0","Chrome 50.0","Chrome 5.0","Chrome 46.1","Yandex Browser 13.10","Coc Coc 50.2","NetFront NX 3.0","Coc Coc 46.0","BlackBerry 0","Yandex Browser 16.2","Silk 3.48","QQ Browser 9.2","Coc Coc 47.0","Opera 11.0","UC Browser 10.5","Amigo 32.0","Silk 3.47","Opera 20.0","Silk 1.0","Coc Coc 49.0","IE 4.0","Chrome 8.0","Opera 18.0","TheWorld","UC Browser 2.8","Puffin 4.1","Firefox 7.0","Chromium 43.0","Chrome 39.4","Silk 3.70","Chrome 3.0","Tencent Traveler 4.0","Other"
2015-02,10.53,0.01,0,0,5.75,36.9,0,0,0.25,0.23,0,3.77,1.53,0.01,2.39,1.9,1.79,0.03,0.97,0,0,1.61,12.07,0,0,0,1.01,0,2.66,1.1,0.9,0.79,0,0.62,0.49,0,0.49,0.92,0.35,0.5,0.52,0.38,0.46,0.31,0,0.38,0.18,0.22,0.3,0.46,0.01,0.17,0,0,0.24,0.16,0,0,0.95,0,0.14,0,0.11,0.13,0.17,0.16,0.11,0.18,0.08,0.11,0.07,0.12,0.1,0.06,0.07,0,0.11,0.06,0.07,0,0.08,0.06,0.07,0.1,0.06,0.1,0.08,0,0.07,0,0.06,0.05,0.06,0.06,0.05,0.27,0.03,0.03,0,0,0.04,0,0.07,0.01,0,0.04,0.05,0.05,0.04,0.04,0.06,0.04,0.03,0.03,0.04,0.03,0,0,0.03,0.01,0.04,0.03,0.04,0.03,0,0.03,0.02,0.02,0,0.09,0,0.02,0.02,0,0,0.01,0.03,0.02,0.03,0.03,0.03,0.03,0.13,0.02,0.02,0,0.01,0.02,0.05,0.02,0.02,0,0.01,0.02,0.02,0,0.02,0,0.01,0,0.02,0.05,0.02,0,0,0,0,0,0,0.02,0,0.02,0.02,0,0.01,0.02,0.01,0.02,0.01,0.03,0.01,0,0,0,0.01,0.02,0.83
2015-03,10.72,0.18,0,0,5.47,14.53,0,0,23.59,0.2,0,3.11,1.57,0.02,2.2,1.75,1.98,0.39,10.61,0.01,0,1.48,2.13,0,0,0,1.05,0,1.67,1.43,1.18,0.82,0,0.96,0.79,0,0.43,0.74,0.34,0.46,0.6,0.59,0.34,0.29,0,0.27,0.2,0.23,0.29,0.3,0.65,0.17,0,0,0.19,0.16,0.01,0,0.34,0,0.12,0,0.11,0.12,0.17,0.12,0.1,0.19,0.08,0.09,0.11,0.11,0.09,0.06,0.1,0.1,0.09,0.07,0.07,0,0.08,0.06,0.07,0.09,0.06,0.1,0.08,0,0.07,0,0.07,0.06,0.06,0.05,0.05,0.22,0.03,0.04,0,0,0.05,0,0.04,0.01,0,0.04,0.05,0.04,0.04,0.04,0.04,0.04,0.03,0.03,0.04,0.04,0,0,0.04,0.02,0.03,0.03,0.04,0.02,0,0.03,0.03,0.02,0,0.09,0,0.02,0.02,0,0,0.01,0.02,0.02,0.03,0.02,0.02,0.02,0.07,0.02,0.02,0,0.02,0.02,0.03,0.02,0.02,0,0.02,0.02,0.01,0,0.02,0,0.01,0,0.02,0.07,0.02,0,0.02,0,0,0,0,0.02,0.12,0.01,0.02,0,0.01,0.01,0.01,0.02,0.01,0.03,0.01,0,0,0,0.01,0.01,0.66
2015-04,10.76,0.28,0,0,5.09,1.3,0,0.13,22.11,15.79,0,3.19,1.68,0.34,2.26,1.81,2.04,9.24,2.87,0.01,0.01,1.28,0.41,0,0,0,1.04,0,1.2,1.58,1.34,0.69,0,1.09,0.79,0,0.4,0.64,0.3,0.39,0.46,0.66,0.39,0.26,0,0.24,0.23,0.23,0.22,0.24,0.96,0.18,0,0,0.16,0.16,0.07,0,0.02,0,0.11,0,0.11,0.12,0.14,0.11,0.1,0.2,0.11,0.1,0.09,0.11,0.09,0.06,0.13,0.3,0.1,0.08,0.07,0,0.08,0.06,0.06,0.08,0.06,0.09,0.07,0,0.06,0,0.06,0.08,0.05,0.05,0.06,0.02,0.04,0.04,0,0,0.06,0,0.04,0.01,0,0.04,0.04,0.04,0.04,0.03,0.04,0.03,0.03,0.03,0.03,0.04,0,0,0.03,0.02,0.03,0.03,0.03,0.02,0,0.03,0.02,0.04,0,0.06,0,0.02,0.04,0,0,0.02,0.02,0.02,0.02,0.02,0.03,0.02,0,0.01,0.02,0,0.03,0.02,0.03,0.02,0.01,0,0.03,0.02,0.01,0,0.01,0,0.01,0,0.01,0.01,0.01,0,0.13,0,0.07,0,0,0.02,0.01,0.01,0.01,0,0.01,0.01,0.01,0.02,0.01,0.03,0.01,0,0.04,0,0.01,0.01,0.67
2015-05,10.83,11.04,0,0,5.06,0.96,0.03,0.27,1.22,26.53,0,3.16,1.8,5.33,2.18,1.87,2.08,6.91,0.34,0.02,0.01,1.4,0.29,0,0.01,0,0.98,0,0.92,1.25,1.01,0.92,0,0.87,0.89,0,0.4,0.51,0.45,0.39,0.43,0.5,0.34,0.24,0,0.23,0.64,0.2,0.17,0.18,0.07,0.18,0.01,0,0.15,0.2,0.95,0,0.01,0,0.11,0,0.11,0.13,0.15,0.1,0.09,0.12,0.14,0.09,0.12,0.09,0.08,0.06,0.19,0.23,0.09,0.06,0.06,0,0.07,0.05,0.07,0.07,0.05,0.05,0.07,0,0.06,0,0.06,0.09,0.05,0.04,0.08,0.01,0.06,0.03,0,0,0.08,0,0.04,0.01,0,0.04,0.04,0.04,0.04,0.04,0.05,0.03,0.03,0.03,0.03,0.04,0.08,0.16,0.03,0.02,0.03,0.03,0.03,0.03,0,0.03,0.02,0.07,0,0.02,0.01,0.02,0.06,0,0,0.02,0.02,0.02,0.02,0.02,0.02,0.02,0,0.02,0.02,0,0.05,0.02,0.02,0.02,0.02,0,0.05,0.02,0.01,0,0.01,0,0.01,0,0.01,0,0.01,0,0,0,0.06,0,0,0.02,0,0.01,0.01,0,0.01,0.01,0.01,0.01,0.01,0.02,0.01,0,0.03,0,0.01,0.01,0.74
2015-06,11.33,37.04,0,0,5.14,0.82,0.29,0.21,0.74,1.3,0,2.91,2,11.36,2.2,1.83,2.09,0.55,0.24,0.38,0.01,1.42,0.24,0,0.01,0,1.16,0,0.79,1.36,1,1.05,0,0.94,0.84,0,0.41,0.38,0.5,0.38,0.39,0.53,0.23,0.23,0,0.24,0.26,0.23,0.21,0.16,0.04,0.19,0.66,0,0.14,0.16,0.37,0,0.01,0.01,0.19,0,0.1,0.11,0.12,0.1,0.09,0.05,0.08,0.1,0.08,0.08,0.08,0.08,0.08,0.14,0.07,0.06,0.07,0,0.07,0.05,0.06,0.06,0.06,0.05,0.06,0,0.06,0,0.06,0.05,0.05,0.04,0.05,0.01,0.03,0.04,0,0,0.04,0,0.04,0.01,0.02,0.04,0.04,0.03,0.04,0.04,0.03,0.04,0.03,0.03,0.03,0.04,0.15,0.19,0.03,0.03,0.03,0.03,0.03,0.03,0,0.03,0.02,0.03,0,0.01,0.04,0.02,0.02,0.01,0,0.02,0.02,0.02,0.02,0.02,0.02,0.02,0,0.02,0.02,0,0.02,0.02,0.02,0.02,0.02,0.04,0.01,0.02,0.02,0,0.02,0,0.01,0,0.01,0,0.01,0,0,0,0.01,0.01,0.03,0.02,0,0.02,0.01,0.02,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.02,0,0.01,0.01,0.7
2015-07,10.84,32.64,0.02,0,5.53,0.68,0.33,8.64,0.58,0.92,0,2.46,2.41,3.31,1.95,1.73,1.97,0.36,0.2,9.03,0.32,1.51,0.2,0,0.01,0.01,1.29,0.02,0.65,0.48,0.36,0.86,0,0.37,0.25,0.05,0.43,0.31,0.42,0.33,0.35,0.16,0.14,0.23,0,0.24,0.19,0.26,0.2,0.15,0.03,0.21,1.08,0,0.13,0.12,0.04,0,0.01,0.02,0.14,0,0.11,0.11,0.08,0.08,0.1,0.05,0.06,0.09,0.06,0.08,0.08,0.08,0.04,0.11,0.06,0.07,0.07,0,0.07,0.06,0.07,0.05,0.06,0.05,0.06,0,0.06,0.01,0.06,0.04,0.05,0.03,0.04,0.01,0.03,0.05,0,0,0.03,0,0.04,0.01,0.17,0.05,0.04,0.03,0.04,0.04,0.02,0.04,0.03,0.03,0.03,0.03,0.08,0.01,0.03,0.03,0.03,0.03,0.03,0.04,0.01,0.03,0.05,0.01,0,0,0.06,0.02,0.01,0.2,0,0.02,0.02,0.02,0.02,0.02,0.01,0.02,0,0.02,0.02,0,0,0.02,0.01,0.02,0.02,0.07,0,0.02,0.02,0,0.02,0,0.02,0,0.02,0,0.02,0,0,0,0,0.09,0.05,0.02,0,0.01,0.01,0.09,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.03,0.01,0,0.01,0.01,0.63
2015-08,9.94,2.73,0.27,0.01,5.53,0.47,0.24,40.37,0.43,0.82,0,2.32,2.43,0.85,1.83,1.66,2.09,0.27,0.17,6.59,5.46,1.37,0.18,0,0.21,0.01,1.36,0.03,0.46,0.31,0.27,0.6,0,0.21,0.16,0.74,0.42,0.24,0.25,0.3,0.32,0.09,0.15,0.23,0,0.21,0.14,0.3,0.31,0.13,0.03,0.22,0.31,0,0.12,0.11,0.03,0.01,0.01,0.83,0.15,0,0.12,0.11,0.07,0.08,0.1,0.04,0.05,0.08,0.05,0.07,0.08,0.11,0.03,0.02,0.05,0.08,0.07,0,0.06,0.06,0.06,0.05,0.05,0.05,0.04,0,0.05,0.13,0.05,0.03,0.05,0.03,0.04,0,0.06,0.05,0,0,0.03,0,0.04,0.05,0.24,0.04,0.04,0.04,0.04,0.04,0.02,0.04,0.03,0.03,0.03,0.03,0.02,0,0.03,0.02,0.03,0.03,0.03,0.03,0.14,0.03,0.03,0.01,0,0,0.05,0.02,0.01,0.06,0,0.02,0.02,0.02,0.02,0.02,0.01,0.02,0,0.02,0.02,0,0,0.02,0.01,0.02,0.01,0.05,0,0.02,0.02,0,0.01,0,0.01,0,0.01,0,0.01,0,0,0,0,0.03,0.03,0.01,0,0.01,0.01,0.02,0.01,0.01,0.01,0.01,0.02,0,0.01,0.03,0.01,0,0.01,0.01,0.74
2015-09,9.88,2.01,0.21,0.25,5.25,0.39,35.57,6.99,0.35,0.65,0,2.19,2.4,0.85,1.75,1.63,2.25,0.22,0.15,0.91,10.53,1.25,0.16,0.01,1.14,0.06,0.91,0.04,0.37,0.27,0.25,0.6,0,0.16,0.14,0.96,0.4,0.21,0.21,0.29,0.32,0.08,0.2,0.22,0,0.19,0.13,0.18,0.15,0.12,0.03,0.18,0.08,0,0.12,0.12,0.02,0.45,0.01,0.62,0.15,0,0.11,0.11,0.07,0.08,0.09,0.04,0.07,0.08,0.06,0.07,0.08,0.1,0.06,0.01,0.06,0.07,0.07,0,0.06,0.06,0.06,0.05,0.06,0.04,0.04,0,0.05,0.4,0.05,0.04,0.04,0.04,0.05,0,0.09,0.05,0,0.01,0.04,0,0.04,0.06,0.05,0.04,0.04,0.03,0.04,0.03,0.03,0.03,0.03,0.03,0.04,0.03,0.01,0,0.03,0.03,0.03,0.03,0.03,0.03,0.14,0.03,0.02,0.02,0,0,0.04,0.02,0.02,0,0.03,0.02,0.02,0.02,0.02,0.02,0.02,0.02,0,0.02,0.02,0,0.01,0.02,0.01,0.02,0.01,0.02,0.01,0.02,0.02,0,0.01,0,0.01,0.06,0.01,0,0.01,0,0,0,0,0.01,0.01,0,0,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0,0.01,0.03,0.01,0,0.01,0.01,0.71
2015-10,10,1.22,21.42,0.21,5.02,0.44,22.05,1.16,0.32,0.51,0.14,1.98,2.68,0.66,1.61,1.53,1.1,0.19,0.14,0.55,1.55,1.34,0.15,0.02,10.23,0.38,0.69,1.59,0.35,0.15,0.2,0.33,0.01,0.14,0.14,1.1,0.38,0.18,0.3,0.28,0.17,0.07,0.19,0.22,0,0.17,0.14,0.13,0.12,0.14,0.04,0.16,0.04,0,0.11,0.12,0.02,1.03,0.01,0.04,0.07,0.05,0.11,0.08,0.06,0.07,0.09,0.04,0.07,0.07,0.06,0.07,0.07,0.1,0.05,0,0.06,0.08,0.06,0,0.05,0.06,0.06,0.04,0.05,0.03,0.04,0.02,0.04,0.16,0.05,0.04,0.04,0.03,0.04,0,0.09,0.04,0,0.33,0.03,0,0.04,0.08,0.02,0.03,0.03,0.03,0.03,0.03,0.03,0.03,0.03,0.03,0.03,0.02,0.01,0,0.03,0.04,0.03,0.03,0.02,0.03,0.06,0.03,0.02,0.02,0,0,0.04,0.02,0.02,0,0.06,0.03,0.02,0.02,0.02,0.02,0.01,0.02,0,0.02,0.02,0,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0,0.01,0,0.02,0.07,0.01,0,0.01,0,0,0,0,0,0.01,0,0,0.01,0.01,0,0.01,0.01,0.01,0.01,0.01,0,0.01,0.02,0,0,0.01,0.01,0.69
2015-11,10.4,1.01,43.09,0.18,5.05,0.61,1.26,0.81,0.31,0.41,0.24,1.89,2.89,0.62,1.48,1.44,0.8,0.18,0.13,0.39,0.36,1.28,0.15,0.33,3.23,7.72,0.68,2.3,0.28,0.14,0.2,0.22,0.01,0.13,0.15,1.13,0.37,0.16,0.21,0.26,0.15,0.06,0.18,0.2,0.08,0.16,0.16,0.13,0.12,0.12,0.04,0.16,0.03,0.02,0.11,0.11,0.02,0.17,0.01,0.02,0.07,0.97,0.1,0.07,0.05,0.07,0.08,0.04,0.06,0.07,0.06,0.06,0.07,0.08,0.04,0,0.06,0.07,0.06,0,0.05,0.06,0.05,0.04,0.05,0.03,0.04,0.34,0.04,0.01,0.04,0.03,0.04,0.04,0.04,0,0.06,0.03,0.02,0.13,0.03,0,0.04,0.09,0.02,0.03,0.03,0.03,0.03,0.03,0.02,0.03,0.04,0.03,0.02,0.02,0,0,0.02,0.04,0.03,0.02,0.02,0.02,0,0.02,0.02,0.01,0.01,0,0.03,0.02,0.01,0,0.06,0.02,0.02,0.02,0.02,0.02,0.01,0.01,0,0.02,0.02,0.04,0.01,0.01,0.01,0.01,0.01,0,0.01,0.01,0.01,0,0.01,0.01,0.01,0.01,0.01,0,0.01,0,0,0.04,0,0,0.01,0,0,0.01,0.01,0,0.01,0.01,0.01,0.01,0.01,0,0.01,0.01,0,0.02,0.01,0.01,0.82
2015-12,10.27,0.75,9.17,33.48,5.09,0.48,0.99,0.67,0.42,0.42,0.28,1.87,3.29,0.47,1.44,1.38,0.65,0.22,0.13,0.25,0.25,1.3,0.13,3.79,0.44,6.64,0.7,2.51,0.26,0.14,0.18,0.15,0.15,0.15,0.21,0.81,0.39,0.14,0.68,0.24,0.16,0.06,0.25,0.27,0.66,0.16,0.19,0.14,0.12,0.11,0.18,0.17,0.06,0.71,0.11,0.12,0.04,0.05,0.03,0.03,0.06,0.42,0.09,0.07,0.05,0.07,0.08,0.05,0.09,0.08,0.14,0.06,0.07,0.09,0.04,0,0.08,0.07,0.05,0.01,0.05,0.07,0.05,0.04,0.07,0.04,0.06,0.34,0.05,0.01,0.04,0.05,0.04,0.08,0.04,0,0.04,0.06,0.16,0.04,0.03,0.06,0.05,0.08,0.01,0.03,0.03,0.03,0.03,0.03,0.03,0.03,0.04,0.03,0.02,0.02,0.01,0,0.02,0.04,0.02,0.03,0.02,0.02,0,0.02,0.03,0.02,0.01,0,0.02,0.03,0.01,0,0.07,0.02,0.01,0.02,0.01,0.01,0.02,0.01,0,0.02,0.02,0.12,0.01,0.01,0.01,0.01,0.02,0,0.01,0.01,0.01,0,0.01,0.09,0.02,0.02,0.01,0,0.01,0,0,0.06,0,0,0.01,0,0,0.01,0.01,0,0.01,0.01,0.01,0.01,0.01,0,0.01,0,0,0.06,0.02,0.01,0.72
2016-01,10.19,0.68,1.36,38.53,5.27,0.19,0.93,0.61,0.34,0.31,3.94,1.63,3.7,0.52,1.29,1.29,0.58,0.19,0.13,0.23,0.22,1.39,0.17,9.41,0.31,0.55,0.65,2.54,0.24,0.13,0.16,0.1,0.8,0.33,0.15,0.52,0.38,0.14,0.24,0.22,0.17,0.06,0.19,0.28,1.17,0.14,0.12,0.15,0.11,0.15,0.08,0.17,0.03,1.12,0.12,0.14,0.02,0.04,0.01,0.03,0.06,0.05,0.09,0.07,0.06,0.06,0.08,0.05,0.13,0.06,0.11,0.05,0.07,0.09,0.09,0,0.06,0.07,0.05,0.01,0.04,0.08,0.04,0.03,0.07,0.03,0.04,0.06,0.04,0.01,0.04,0.05,0.04,0.07,0.05,0,0.03,0.06,0.23,0.03,0.04,0.34,0.04,0.09,0.01,0.03,0.03,0.03,0.03,0.02,0.02,0.02,0.03,0.03,0.02,0.02,0,0,0.02,0.04,0.02,0.02,0.02,0.02,0,0.02,0.02,0.03,0.03,0,0.01,0.04,0.03,0,0.05,0.02,0.01,0.01,0.01,0.01,0.01,0.01,0,0.02,0.02,0.06,0.02,0.01,0,0.01,0.02,0,0.02,0.01,0.01,0.02,0.01,0.08,0.02,0.02,0.01,0,0.01,0,0,0.05,0,0,0,0,0,0.01,0.01,0,0.01,0.01,0.01,0.01,0.01,0,0.01,0,0,0.04,0.02,0.01,0.91
2016-02,9.78,0.71,0.82,2.29,5.24,0.17,0.88,0.51,0.26,0.23,42.41,1.34,3.71,0.39,1.03,1.02,0.54,0.15,0.11,0.19,0.18,1.39,0.12,3.6,0.21,0.36,0.59,2.78,0.23,0.12,0.13,0.08,7.37,0.32,0.1,0.43,0.37,0.12,0.16,0.22,0.13,0.05,0.15,0.26,1.4,0.14,0.12,0.14,0.1,0.1,0.08,0.16,0.03,0.31,0.08,0.11,0.02,0.02,0.01,0.02,0.06,0.02,0.08,0.07,0.05,0.06,0.07,0.04,0.08,0.05,0.07,0.05,0.06,0.09,0.04,0,0.08,0.07,0.05,0.94,0.04,0.1,0.04,0.03,0.04,0.03,0.04,0.01,0.04,0.01,0.04,0.04,0.03,0.07,0.03,0,0.01,0.04,0.2,0.02,0.03,0.19,0.03,0.07,0.01,0.03,0.02,0.02,0.03,0.02,0.02,0.02,0.03,0.03,0.02,0.02,0,0,0.02,0.06,0.02,0.02,0.02,0.02,0,0.02,0.02,0.02,0.34,0,0.01,0.02,0.02,0,0.03,0.03,0.01,0.01,0.01,0.01,0.01,0.01,0,0.01,0.01,0.01,0.01,0.01,0,0.01,0.02,0,0.01,0.01,0.01,0.21,0.01,0.02,0.02,0.01,0.01,0,0.01,0.19,0,0.03,0,0,0,0,0,0.01,0.01,0,0.01,0.01,0.01,0.01,0,0,0.01,0,0,0.02,0.01,0.01,0.94
